De Aziatische kampioenschappen schaatsen 2004 werden op 3 en 4 januari 2004 op de buitenijsbaan
Spetses (Grieks: Σπέτσες, Katharevousa: Σπέτσαι, in de klassieke oudheid Πιτυούσα) is een van de Saronische
In 2002 werd het 101ste Campeonato Paulista gespeeld voor voetbalclubs uit de Braziliaanse staat São
Helina pubiseta is een vliegensoort uit de familie van de echte vliegen (Muscidae). De wetenschappelijke
Klapbes kan verwijzen naar: Kruisbes, een vlezige vrucht die behoort tot het geslacht Ribes; Sneeuwbes,
Kristaltherapie is een pseudowetenschappelijke alternatieve geneeswijze die stenen en kristallen gebruikt om te genezen. De
NGC 1117-2 is een compact sterrenstelsel in het sterrenbeeld Ram. Het sterrenstelsel bevindt zich dicht
Merycochoerus is een uitgestorven hoefdier uit de familie Merycoidodontidae. Het geslacht omvat meerdere soorten die
Oude Steen kan verwijzen naar: Het oudste deel van het Stadhuis van Delft Een deel
NGC 1851 is een bolvormige sterrenhoop in het sterrenbeeld Duif. Het hemelobject ligt 39.500 lichtjaar
De valluikslag is een combinatie die bij het dammen een rol speelt. Een andere Franse,
El Bayadh kan verwijzen naar: El Bayadh (stad), stad in Algerije El Bayadh (provincie), provincie
Leucochrysa (Nodita) submacula is een insect uit de familie van de gaasvliegen (Chrysopidae), die tot
Tipula (Bellardina) edwardsi is een tweevleugelige uit de familie langpootmuggen (Tipulidae). De soort komt voor
Arvo Pärt componeerde zijn Rozhdyestvyenskaya kolïbyelnaya, (Russisch voor Kerst wiegelied) in 2002. Hoewel de titel
Cicurina cavealis is een spinnensoort in de taxonomische indeling van de kaardertjes (Dictynidae).Het dier behoort
De N529 is een gewestweg in België tussen Doornik (R52) en Lessen (N42/N57). De weg
Nomima gaerdesi is een vlinder uit de familie Dudgeoneidae. De wetenschappelijke naam van deze soort
Hypocoela turpisaria is een vlinder uit de familie spanners (Geomteridae). De wetenschappelijke naam van deze
Helius (Helius) luachimoensis is een tweevleugelige uit de familie steltmuggen (Limoniidae). De soort komt voor
De Vordere Karlesspitze is een 2574 meter hoge bergtop in de Stubaier Alpen in het
Otoplanidia endocystis is een platworm (Platyhelminthes). De worm is tweeslachtig. De soort leeft in het
Blue-rubber-bleb-nevussyndroom (ook wel "BRBNS", "blue-rubber-blebsyndroom, "blue-rubber-blebnevus", of "Syndroom van Bean") is een zeer zeldzame ziekte
Jepat Lor is een bestuurslaag in het regentschap Pati van de provincie Midden-Java, Indonesië. Jepat
Gerhard Karl Erich Gentzen (Greifswald, 24 november 1909 - Praag, 4 augustus 1945) was een
De Maule is een rivier in Chili met een lengte van 240 km die uitmondt
Dit artikel vat het vijfde seizoen van Elementary samen. Dit seizoen liep van 2 oktober
Paloh Igeuh is een bestuurslaag in het regentschap Aceh Utara van de provincie Atjeh, Indonesië.
Khädrub Gyatso, ook wel Khedrup Gyatso, (Kangding, 19 december 1838 – Lhasa, 31 januari 1856),
Merodon hamifer is een vliegensoort uit de familie van de zweefvliegen (Syrphidae). De wetenschappelijke naam
Nummer 1 kan verwijzen naar: Nº 1, het eerste luchtschip Nummer 1 (Marco Borsato), een
Steel Glove is een verzamelalbum van de Duitse band Accept. Het werd uitgegeven in 1995....
Een kruidentuin is een tuin waarin tuinkruiden en kruiden met medicinale werking worden gekweekt. Het
Jasmineira schaudinni is een borstelworm uit de familie Sabellidae. Het lichaam van de worm bestaat
Tapinolachnus lacordairei is een keversoort uit de familie boktorren (Cerambycidae). De wetenschappelijke naam van de
Zelomorpha wesmaeli is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Clinocentrus flaviventris is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
De Chevrolet Kalos (voorheen Daewoo Kalos) is een compacte stadsauto van Chevrolet die wordt gebouwd
Fossiele brandstoffen zijn koolwaterstofverbindingen die zijn ontstaan uit resten van plantaardig en dierlijk leven in
Nonlinear Analysis: Real World Applications is een internationaal, aan collegiale toetsing onderworpen wetenschappelijk tijdschrift op
Heer Bommel en de zwelbast (in boekuitgaven/spraakgebruik verkort tot De zwelbast) is een verhaal uit
Bert Verbeke (Gent, 22 september 1983) is een Belgisch acteur, zanger en muzikant. Verbeke studeerde
Dit is een lijst van personen die zijn overleden in 1990....
Kanye is een stad in Botswana en is de hoofdplaats van het district Southern. Kanye
Aroa anthora is een vlinder uit de familie familie spinneruilen (Erebidae), onderfamilie donsvlinders (Lymantriinae). De
Paya Dua is een bestuurslaag in het regentschap Aceh Utara van de provincie Atjeh, Indonesië.
Graus kan verwijzen naar: Graus (plaats), een gemeente in de Spaanse provincie Huesca in de
Perileptus pusillus is een keversoort uit de familie van de loopkevers (Carabidae). De wetenschappelijke naam
Morula (Morula) zebrina is een slakkensoort uit de familie van de Muricidae. De wetenschappelijke naam
Gliese 41 is een hoofdreeksster van het type K, gelegen in het sterrenbeeld Cassiopeia op
Sandra Wasserman (Antwerpen, 10 maart 1970) is een voormalig tennisspeelster uit België. Zij speelde proftennis
Linden is een plaats (city) in de Amerikaanse staat Alabama, en valt bestuurlijk gezien onder
Hallettsville is een plaats (city) in de Amerikaanse staat Texas, en valt bestuurlijk gezien onder
De Chicago Auto Show is een autosalon in Chicago, Verenigde Staten. De show wordt jaarlijks
Nationaal park Junkerdal (Noors: Junkerdal nasjonalpark; Samisch: Junnkaravuome) is een nationaal park in Nordland in
Stavešinci is een plaats in Slovenië en maakt deel uit van de Sloveense gemeente Gornja
Sympherobius subcostalis is een insect uit de familie van de bruine gaasvliegen (Hemerobiidae), die tot
Saint-Valery is een gemeente in het Franse departement Oise (regio Hauts-de-France) en telt 59 inwoners
Baerlon is een fictieve stad uit de boekencyclus Het Rad des Tijds van de schrijver
De gemeente Kruklanki is een landgemeente in het Poolse woiwodschap Ermland-Mazurië, in powiat Giżycki. De
Schilbe laticeps is een straalvinnige vissensoort uit de familie van de glasmeervallen (Schilbeidae). De wetenschappelijke
P40 of P-40 kan verwijzen naar: P40 (Letland), een regionale weg in Letland P40 (Long
Farigia foliata is een vlinder uit de familie van de tandvlinders (Notodontidae). De wetenschappelijke naam
Dorsiceratus dinah is een eenoogkreeftjessoort uit de familie van de Ancorabolidae. De wetenschappelijke naam van
Paratrochosina insolita is een spinnensoort in de taxonomische indeling van de wolfspinnen (Lycosidae).Het dier behoort
Berdeniella chvojkai is een muggensoort uit de familie van de motmuggen (Psychodidae). De wetenschappelijke naam
Agrypon xingshanense is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Paulton is een plaats en civil parish in het bestuurlijke gebied Bath and North East
Chaetonopsis is een geslacht van vliegen (Brachycera) uit de familie van de sluipvliegen (Tachinidae). De
Drusus vinconi is een schietmot uit de familie Limnephilidae. De soort komt voor in het
Namalycastis ranauensis is een borstelworm uit de familie Nereididae. Het lichaam van de worm bestaat
Eucera popovi is een vliesvleugelig insect uit de familie bijen en hommels (Apidae). De wetenschappelijke
Lars Hutten (Tilburg, 18 maart 1990) is een Nederlands voetballer die doorgaans in de aanval
Pterostichus rubripalpis is een keversoort uit de familie van de loopkevers (Carabidae). De wetenschappelijke naam
Pisinna is een geslacht van weekdieren uit de klasse van de Gastropoda (slakken)....
Miripronotum prominoculatum is een keversoort uit de familie zwartlijven (Tenebrionidae). De wetenschappelijke naam van de
Pseuderimerus mayetiolae is een vliesvleugelig insect uit de familie Torymidae. De wetenschappelijke naam is voor
Juan Rafael Elvira Quesada (Mexico-Stad, 11 april 1958) is een Mexicaans ingenieur en politicus van
Enneacanthus is een geslacht van zoetwatervissen uit de familie van de zonnebaarzen (Centrarchidae) en de
Gyretes duidensis is een keversoort uit de familie van schrijvertjes (Gyrinidae). De wetenschappelijke naam van
